email,url
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/espn/news/story?page=patents
espn_app_accommodation@espn.com,https://espncareers.com/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/espn/news/story?page=contact-index
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/espn/news/story?page=help-index
"privacy.department@nielsen.com,privacy.department@nielsen.com,privacy.department@nielsen.com",https://www.nielsen.com/us/en/legal/privacy-statement/digital-measurement/
"PRIVACYCONTACT@DISNEY.COM,privacy@privo.com,privacycontact@disney.com,privacycontact@disney.com,ms_support@help.go.com,privacycontact@disney.com",https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/
"caprivacy@twdc.com,caprivacy@twdc.com",https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-california-privacy-rights/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/video/clip?id=21794289
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/video/clip?id=28090377
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nfl/story/_/id/28522667/nfl-rookie-rankings-nick-bosa-beats-four-offensive-first-year-stars-top-spot
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nba/story/_/id/28372656/how-watch-zion-williamson-best-moves-big-games-expectations
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nfl/insider/story/_/id/28436762/re-draft-2019-nfl-draft-new-picks-first-two-rounds-nos-1-64
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/tennis/story/_/id/28523842/caroline-wozniacki-singing-same-tune-australian-open-swan-song
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mlb/story/_/id/28530363/winners-losers-2020-baseball-hall-fame-voting-announcement
"logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/watch/collections/27431/australian-open-live-upcoming
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/tennis/story/_/id/28434576/australian-open-2020-bracket-scores-schedule-how-watch-analysis
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nba/insider/story/_/id/28523402/five-young-nba-trade-targets-thrive-new-teams
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/tennis/story/_/id/28534080/coco-gauff-advances-set-showdown-naomi-osaka-3rd-round-australian-open
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nfl/story/_/id/28534569/jay-gruden-set-join-jags-new-offensive-coordinator
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mens-college-basketball/story/_/id/28533878/evansville-fires-coach-walter-mccarty-names-todd-lickliter-replacement
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nfl/story/_/id/28532490/antonio-brown-trainer-allegedly-battered-driver-police-say
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mlb/story/_/id/28533311/derek-jeter-larry-walker-elected-baseball-hall-fame
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mens-college-basketball/story/_/id/28534201/late-block-sparks-brawl-kansas-kansas-state
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mens-college-basketball/story/_/id/28533642/melee-mars-finish-kansas-win-rival-kansas-state
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/espnw/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://espndeportes.espn.com
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/espn/story/_/id/27852002/the-espn-daily-podcast-how-watch-episode-guide-more
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nfl/draft2020/insider/story/_/id/28320661/kiper-2020-nfl-draft-big-board-rankings-top-25-prospects-overall-top-10s-every-position
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mlb/story/_/id/27929517/mlb-offseason-complete-coverage-free-agency-trades-more
"logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/watch/collections/26854/australian-open
"logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/watch/collections/24920/college-bball-live-upcoming
"logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/watch/collections/26921/copa-del-rey-live-upcoming
"logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,logo-espn-watch-black@2x.png,logo-espn-watch@2x.png,ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/watch/collections/19826/ufc-live-upcoming
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/fantasy/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/wwe/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/tennis/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/wnba/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/rugby/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/specialolympics/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/college-sports/basketball/recruiting/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/college-sports/football/recruiting/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/racing/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nhl/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/olympics/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/womens-college-basketball/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nba-g-league/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/racing/nascar/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/little-league-world-series/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mlb/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/golf/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/esports/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/f1/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/college-sports/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/chalk/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/boxing/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mma/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/soccer/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/college-football/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/mens-college-basketball/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nfl/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com/nba/
"ESPN_PLUS.logo@2x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png,ESPN_PLUS.logo@2x.png,bkg-blur@3x.png",https://www.espn.com
cybercell@paytm.com,https://paytm.com/
cybercell@paytm.com,https://paytm.com/municipal-payments
cybercell@paytm.com,https://paytm.com/landline-bill-payment/nextra-broadband
cybercell@paytm.com,https://paytm.com/buy-insurance/health-insurance
cybercell@paytm.com,https://paytm.com/buy-insurance/term-life-insurance
cybercell@paytm.com,https://paytm.com/buy-insurance/car-insurance
cybercell@paytm.com,https://paytm.com/buy-insurance/two-wheeler-insurance
"service@templeton.com,service@templeton.com",https://www.paytmmoney.com/mutual-funds/scheme/franklin-india-smaller-companies-direct-fund-growth/inf090i01iq4
"investor.line@lntmf.co.in,investor.line@lntmf.co.in",https://www.paytmmoney.com/mutual-funds/scheme/lnt-india-value-fund-direct-growth/inf917k01hd4
"mutual@kotak.com,mutual@kotak.com",https://www.paytmmoney.com/mutual-funds/scheme/kotak-standard-multicap-fund-direct-growth/inf174k01ls2
"investor.line@lntmf.co.in,investor.line@lntmf.co.in",https://www.paytmmoney.com/mutual-funds/scheme/lnt-emerging-businesses-fund-direct-growth/inf917k01qa1
"customer_care@nipponindiamf.com,customer_care@nipponindiamf.com",https://www.paytmmoney.com/mutual-funds/scheme/reliance-small-cap-fund-direct-growth/inf204k01k15
"customercare@miraeassetmf.co.in,customercare@miraeassetmf.co.in",https://www.paytmmoney.com/mutual-funds/scheme/mirae-asset-emerging-bluechip-fund-direct-growth/inf769k01bi1
"customer.delight@sbimf.com,customer.delight@sbimf.com",https://www.paytmmoney.com/mutual-funds/scheme/sbi-bluechip-direct-plan-growth/inf200k01qx4
"customerservices@sundarammutual.com,website@3x.png,customerservices@sundarammutual.com",https://www.paytmmoney.com/mutual-funds/amc/sundaram-mutual-fund
"investormf@idfc.com,website@3x.png,investormf@idfc.com",https://www.paytmmoney.com/mutual-funds/amc/idfc-mutual-fund
"blog@3x.png,twitter@3x.png,website@3x.png",https://www.paytmmoney.com/mutual-funds/amc/aditya-birla-sun-life-mutual-fund
"mutual@kotak.com,twitter@3x.png,website@3x.png,mutual@kotak.com",https://www.paytmmoney.com/mutual-funds/amc/kotak-mahindra-mutual-fund
"enquiry@icicipruamc.com,twitter@3x.png,website@3x.png,enquiry@icicipruamc.com",https://www.paytmmoney.com/mutual-funds/amc/icici-prudential-mutual-fund
"invest@uti.co.in,facebook@3x.png,twitter@3x.png,website@3x.png,linkedin@3x.png,invest@uti.co.in",https://www.paytmmoney.com/mutual-funds/amc/uti-mutual-fund
"getintouch@axismf.com,customerservice@axismf.com,getintouch@axismf.com,customerservice@axismf.com",https://www.paytmmoney.com/mutual-funds/scheme/axis-long-term-equity-direct-plan-growth/inf846k01ew2
"getintouch@axismf.com,customerservice@axismf.com,twitter@3x.png,website@3x.png,getintouch@axismf.com,customerservice@axismf.com",https://www.paytmmoney.com/mutual-funds/amc/axis-mutual-fund
"investor.line@lntmf.co.in,facebook@3x.png,twitter@3x.png,website@3x.png,linkedin@3x.png,investor.line@lntmf.co.in",https://www.paytmmoney.com/mutual-funds/amc/lnt-mutual-fund
website@3x.png,https://www.paytmmoney.com/mutual-funds/amc/hdfc-mutual-fund
"customer.delight@sbimf.com,twitter@3x.png,website@3x.png,customer.delight@sbimf.com",https://www.paytmmoney.com/mutual-funds/amc/sbi-mutual-fund
"Debt_bg02@3x.png,Balanced_bg01@3x.png,Balanced_bg04@3x.png,Balanced_bg01@3x.png,Equity_bg03@3x.png,Debt_bg01@3x.png,Balanced_bg02@3x.png,Equity_bg01@3x.png,Debt_bg01@3x.png,Debt_bg04@3x.png,Equity_bg01@3x.png,Balanced_bg03@3x.png,Debt_bg03@3x.png,Equity_bg04@3x.png,Equity_bg04@3x.png,Balanced_bg02@3x.png,Debt_bg01@3x.png,Debt_bg03@3x.png,Debt_bg02@3x.png,Balanced_bg01@3x.png,Equity_bg01@3x.png,Equity_bg01@3x.png,Equity_bg03@3x.png,Equity_bg02@3x.png,Debt_bg04@3x.png,Debt_bg01@3x.png,Debt_bg01@3x.png,Equity_bg02@3x.png,Debt_bg04@3x.png,Debt_bg04@3x.png,Equity_bg03@3x.png,Debt_bg02@3x.png,Balanced_bg03@3x.png,Equity_bg02@3x.png,Debt_bg03@3x.png,Equity_bg04@3x.png,Equity_bg03@3x.png,Debt_bg02@3x.png,Equity_bg02@3x.png,Equity_bg01@3x.png,Equity_bg04@3x.png,Debt_bg03@3x.png,Equity_bg02@3x.png",https://www.paytmmoney.com/mutual-funds/balanced-funds
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/sci-fi
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/mystery
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/horror
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/adventure
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/comedy
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/romantic
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/animation
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/fantasy
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/sport
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/thriller
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/action
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/history
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/drama
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/biography
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/marathi
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/tamil
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/telugu
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/english
cybercell@paytm.com,https://paytm.com/amusement-parks/hyderabad
cybercell@paytm.com,https://paytm.com/amusement-parks/bengaluru
cybercell@paytm.com,https://paytm.com/movies/upcoming-movies/hindi
cybercell@paytm.com,https://paytm.com/amusement-parks/goa
cybercell@paytm.com,https://paytm.com/amusement-parks/noida
cybercell@paytm.com,https://paytm.com/amusement-parks/gurgaon
cybercell@paytm.com,https://paytm.com/amusement-parks/kolkata
cybercell@paytm.com,https://paytm.com/amusement-parks/pune
cybercell@paytm.com,https://paytm.com/amusement-parks/chennai
cybercell@paytm.com,https://paytm.com/amusement-parks/lonavala
cybercell@paytm.com,https://paytm.com/amusement-parks/delhi-ncr
cybercell@paytm.com,https://paytm.com/amusement-parks/mumbai
cybercell@paytm.com,https://paytm.com/events/goa
cybercell@paytm.com,https://paytm.com/events/chandigarh
cybercell@paytm.com,https://paytm.com/events/kolkata
cybercell@paytm.com,https://paytm.com/events/pune
cybercell@paytm.com,https://paytm.com/events/chennai
cybercell@paytm.com,https://paytm.com/events/hyderabad
cybercell@paytm.com,https://paytm.com/events/bengaluru
cybercell@paytm.com,https://paytm.com/events/delhi-ncr
cybercell@paytm.com,https://paytm.com/events/mumbai
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/ajmer-to-jaipur-trains
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/chennai-to-bangalore-trains
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/mysore-to-bangalore-trains
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/ahmedabad-to-mumbai-trains
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/irctc-account-login
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/railway-reservation-cancellation
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/tatkal-railway-reservation
"cybercell@paytm.com,0410ce5f7a3a4c58bb301150a45235d4@sentry.io",https://paytm.com/train-tickets/train-running-status
